pos,word
갈구/NNG,갈구하다
갈망/NNG,갈망하다
감명/NNG,감명깊다
감명깊/VA,감명깊다
강렬/XR,강렬하다
강렬/NNG,강렬하다
특별/NNG,특별하다
특이/NNG,특이하다
파격/NNG,파격적
파격적/NNG,파격적
파격/NNG+적/XSN,파격적
혁신/NNG,혁신적
혁신/NNG+적/XSN,혁신적
현장감/NNG,현장감
현장/NNG+감/XSN,현장감
호기심/NNG,호기심
환상/NNG,환상적이다
환상적/NNG,환상적이다
환상/NNG+적/XSN,환상적이다
과감/XR,과감하다
과감/NNG,과감하다
굉장/XR,굉장하다
굉장/NNG,굉장하다
근사/XR,근사하다
근사/NNG,근사하다
기대/NNG,기대하다
흥미/NNG,흥미롭다
흥미로/VA,흥미롭다
흥미롭/VA,흥미롭다
흥미/NNG+로운/XSA,흥미롭다
흥미/NNG+롭/XSA+게/EC,흥미롭다
흥미/NNG+로웠/XSA+EP,흥미롭다
흥미/NNG+로울/XSA+ETM,흥미롭다
흥미로움/NNG,흥미롭다
흥미/NNG+로움/XSA+ETN,흥미롭다
기똥차/VA,기똥차다
기똥찬/VA,기똥차다
기똥찼/VA,기똥차다
기똥찰/VA,기똥차다
기똥참/NNG,기똥차다
희귀/XR,희귀하다
희귀/NNG,희귀하다
기묘/XR,기묘하다
기묘/NNG,기묘하다
기발/XR,기발하다
기발/NNG,기발하다
다이나믹/NNP,다이나믹
다이나믹/NNG,다이나믹
다채/XR,다채롭다
다채롭/VA,다채롭다
다채로/VA,다채롭다
다채로움/NNG,다채롭다
독창/NNG,독창적
독창적/NNG,독창적
독창/NNG+적/XSN,독창적
독특/NNG,독특하다
돋보이/VV,돋보이다
돋보이/VA,돋보이다
도두보이/VV,돋보이다
돋보임/NNG,돋보이다
또렷/XR,또렷하다
또렷/NNG,또렷하다
명료/XR,명료하다
명료/NNG,명료하다
부러워/VA,부러워하다
부러/VA,부러워하다
부러움/NNG,부러워하다
사/VV+고/EC+싶/VX,사고싶다
사고/NNG+싶/VX,사고싶다
새롭/VA,새롭다
새로/VA,새롭다
새로움/NNG,새롭다
색다르/VA,색다르다
색다름/NNG,색다르다
색달라/VA,색다르다
색달랐/VA,색다르다
색다른/VA,색다르다
생동감/NNG,생동감
생동/NNG,생동감
생명력/NNG,생명력
생생/XR,생생하다
생생/NNG,생생하다
스릴/NNG,스릴
신기/XR,신기하다
신기/NNG,신기하다
신비/NNG,신비롭다
신비롭/VA,신비롭다
신비로/VA,신비롭다
쌈빡/XR,쌈빡하다
쌈빡/MAG,쌈빡하다
쌈박/XR,쌈빡하다
쌈박/MAG,쌈빡하다
압도/NNG,압도적이다
압도적/NNG,압도적이다
압도/NNG+적/XSN,압도적이다
역동/NNG,역동적이다
역동적/NNG,역동적이다
역동/NNG+적/XSN,역동적이다
원/NNG+하/XSV,원하다
원하/VV,원하다
원했/VV,원하다
원할/VV,원하다
원한/VV,원하다
원함/NNG,원하다
유니크/NNG,유니크
이/MM+국적/NNG,이국적
이국/NNG+적/XSN,이국적
이국적/NNG,이국적
이색/NNG,이색적이다
이색적/NNG,이색적이다
이색/NNG+적/XSN,이색적이다
이채/NNG,이채롭다
이채로/VA,이채롭다
이채롭/VA,이채롭다
이채로움/NNG,이채롭다
인상/NNG,인상적이다
인상적/NNG,인상적이다
인상/NNG+적/XSN,인상적이다
입체/NNG,입체적이다
입체적/NNG,입체적이다
입체/NNG+적/XSN,입체적이다
재미/NNG+있/VV,재미있다
재미/NNG+있/VA,재미있다
재밌/VV,재미있다
재밌/NNG,재미있다
재밌/VA,재미있다
재미있/VA,재미있다
정렬/NNG,정렬적
정렬적/NNG,정렬적
정렬/NNG+적/XSN,정렬적
정열/NNG,정열
짜릿/XR,짜릿하다
짜릿/NNG,짜릿하다
가지런/XR,가지런하다
가지런/NNG,가지런하다
추천/NNG,추천
간결/XR,간결하다
간결/NNG,간결하다
충분/XR,충분하다
충분/NNG,충분하다
간소/XR,간소하다
간소/NNG,간소하다
충실/NNG,충실하다
간편/XR,간편하다
간편/NNG,간편하다
취향저격/NNG,취향저격
취향/NNG+저격/NNG,취향저격
친근/XR,친근하다
친근/XR+감/XSN,친근하다
친근감/NNG,친근하다
친숙/XR,친숙하다
친숙/NNG,친숙하다
감각/NNG+있/VV,감각있다
친절/NNG,친절하다
콩닥/NNG,콩닥거리다
콩닥/MAG,콩닥거리다
쾌활/XR,쾌활하다
쾌활/NNG,쾌활하다
큐트/NNP,큐트
큐트/NNG,큐트
감미로움/NNG,감미롭다
감미로/VA,감미롭다
탁월/XR,탁월하다
탁월/NNG,탁월하다
탄탄/XR,탄탄하다
탄탄/NNG,탄탄하다
탐나/VV,탐나다
탐/XR,탐나다
탐났/VV,탐나다
탐날/VV,탐나다
탐난/VV,탐나다
감성/NNG,감성적이다
감성적/NNG,감성적이다
감성/NNG+적/XSN,감성적이다
탐탁/XR,탐탁하다
탐탁/NNG,탐탁하다
통일감/NNG,통일감
통일/NNG+감/XSN,통일감
강인/NNG,강인하다
강인/XR,강인하다
강추/NNG,강추
특출/XR,특출나다
특출/VA,특출나다
특출/NNG,특출나다
갖고싶/VV,갖고싶다
갖/VV+고/EC+싶/VX,갖고싶다
갖/VV+고/EC+싶/VV,갖고싶다
갖고싶음/NNG,갖고싶다
튼실/XR,튼실하다
튼실/NNG,튼실하다
개성/NNG+있/VA,개성있다
개성/NNG+있/VV,개성있다
튼튼/XR,튼튼하다
튼튼/NNG,튼튼하다
건실/XR,건실하다
건실/NNG,건실하다
편리/NNG,편리하다
건전/XR,건전하다
건전/NNG,건전하다
편안/NNG,편안하다
걸맞/VA,걸맞다
걸맞음/NNG,걸맞다
편하/VA,편하다
편/XR,편하다
편했/VA,편하다
편할/VA,편하다
편한/VA,편하다
편함/NNG,편하다
격식/NNG+있/VV,격식있다
격식/NNG+있/VA,격식있다
포근/XR,포근하다
포근/NNG,포근하다
견고/XR,견고하다
견고/NNG,견고하다
푹신/NNG,푹신하다
푹신/MAG,푹신하다
경건/XR,경건하다
경건/NNG,경건하다
품위/NNG+있/VV,품위있다
품위/NNG+있/VA,품위있다
경외/NNG,경외하다
경외감/NNG,경외하다
풍부/XR,풍부하다
풍부/NNG,풍부하다
풍성/XR,풍성하다
풍성/NNG,풍성하다
고귀/XR,고귀하다
고귀/NNG,고귀하다
고급/NNG,고급스럽다
고급스럽/VA,고급스럽다
고급스러/VA,고급스럽다
고맙/VA,고맙다
고마/VA,고맙다
고마움/NNG,고맙다
고상/XR,고상하다
고상/NNG,고상하다
현대/NNG,현대적
현대적/NNG,현대적
현대/NNG+적/XSN,현대적
고요/NNG,고요하다
고전/NNG,고전적이다
고전적/NNG,고전적이다
고전/NNG+적/XSN,고전적이다
호화/NNG,호화스럽다
고풍/NNG+있/VV,고풍있다
고풍/NNG+있/VA,고풍있다
화려/XR,화려하다
화려/NNG,화려하다
곱/VA,곱다
고운/VA,곱다
고우/VA,곱다
고왔/VA,곱다
고움/NNG,곱다
화사/NNG,화사하다
화사/XR,화사하다
곱상/NNG,곱상하다
가뿐/XR,가뿐하다
가뿐/NNG,가뿐하다
환하/VA,환하다
환/XR,환하다
환했/VA,환하다
환할/VA,환하다
환한/VA,환하다
환함/NNG,환하다
괜찮/VA,괜찮다
개않/NNG,괜찮다
개않/VA,괜찮다
괜춘/NNG,괜찮다
괜춘/VA,괜찮다
갠찬/NNG,괜찮다
갠찬/VA,괜찮다
괜찮음/NNG,괜찮다
굳건/XR,굳건하다
굳건/NNG,굳건하다
귀엽/VA,귀엽다
귀여/VA,귀엽다
개기엽/NNG,귀엽다
개/NNG+기엽/NNG,귀엽다
기엽/NNG,귀엽다
졸귀/NNG,귀엽다
졸귀탱/NNG,귀엽다
존귀/NNG,귀엽다
존귀탱/NNG,귀엽다
귀여움/NNG,귀엽다
기여움/NNG,귀엽다
커엽/NNG,귀엽다
커여움/NNG,귀엽다
규칙/NNG,규칙적
규칙적/NNG,규칙적
규칙/NNG+적/XSN,규칙적
후하/VA,후하다
후했/VA,후하다
후할/VA,후하다
후한/VA,후하다
후함/NNG,후하다
균형/NNG,균형
균형적/NNG,균형
균형/NNG+적/XSN,균형
훌륭/XR,훌륭하다
훌륭/NNG,훌륭하다
긍정/NNG,긍정적
긍정적/NNG,긍정적
긍정/NNG+적/XSN,긍정적
기교/NNG+있/VV,기교있다
기교/NNG+있/VA,기교있다
기품/NNG+있/VV,기품있다
기품/NNG+있/VA,기품있다
깔끔/XR,깔끔하다
깔끔/NNG,깔끔하다
껄끔/NNG,깔끔하다
깜찍/XR,깜찍하다
깜찍/NNG,깜찍하다
깜직/NNG,깜찍하다
깨끗/XR,깨끗하다
깨끗/NNG,깨끗하다
꼼꼼/XR,꼼꼼하다
꼼꼼/MAG,꼼꼼하다
꼼꼼/NNG,꼼꼼하다
꾸밈/NNG+없/VA,꾸밈없다
꾸밈없/VA,꾸밈없다
끄떡없/VA,끄떡없다
끄떡/MAG+없/VA,끄떡없다
낙낙/XR,낙낙하다
낙낙/NNG,낙낙하다
날씬/XR,날씬하다
날씬/NNG,날씬하다
낫/VA,낫다
나았/VA,낫다
나은/VA,낫다
나을/VA,낫다
나음/NNG,낫다
낭만/NNG,낭만적
낭만적/NNG,낭만적
낭만/NNG+적/XSN,낭만적
넉넉/XR,넉넉하다
넉넉/NNG,넉넉하다
눈부시/VA,눈부시다
눈부셔/VA,눈부시다
눈부심/NNG,눈부시다
단단/XR,단단하다
단단/NNG,단단하다
단아/XR,단아하다
단아/NNG,단아하다
단정/XR,단정하다
단정/NNG,단정하다
달갑/VA,달갑다
달가/VA,달갑다
달가움/NNG,달갑다
달콤/XR,달콤하다
달콤/NNG,달콤하다
대견/XR,대견하다
대견/NNG,대견하다
대담/NNG,대담하다
대중/NNG,대중적이다
대중적/NNG,대중적이다
대중/NNG+적/XSN,대중적이다
독보/NNG,독보적
독보적/NNG,독보적
독보/NNG+적/XSN,독보적
두근거리/VV,두근거리다
두근/NNG+거리/NNG,두근거리다
두근/XR,두근거리다
두근대/VV,두근거리다
두근/NNG+대/VV,두근거리다
두근거렸/VV,두근거리다
두근거린/VV,두근거리다
두근거릴/VV,두근거리다
든든/XR,든든하다
든든/NNG,든든하다
듬직/XR,듬직하다
듬직/NNG,듬직하다
따끈/XR,따뜻하다
따듯/NNG,따뜻하다
따듯/XR,따뜻하다
따뜻/XR,따뜻하다
따스/XR,따뜻하다
따습/NNG,따뜻하다
따시/NNG,따뜻하다
따뜻/NNG,따뜻하다
따스함/NNG,따뜻하다
뚜렷/XR,뚜렷하다
뚜렷/NNG,뚜렷하다
뛰어나/VA,뛰어나다
뛰어났/VA,뛰어나다
뛰어난/VA,뛰어나다
뛰어날/VA,뛰어나다
뛰어남/NNG,뛰어나다
럭셔리/XR,럭셔리
럭셔리/NNG,럭셔리
만족/NNG,만족
말끔/XR,말끔하다
말끔/MAG,말끔하다
말끔/NNG,말끔하다
매력/NNG,매력
매력적/NNG,매력
매력/NNG+적/XSN,매력
매혹/NNG,매혹적
매혹적/NNG,매혹적
매혹/NNG+적/XSN,매혹적
맵시/NNG,맵시
멀끔/XR,멀끔하다
멀끔/NNG,멀끔하다
멀쩡/XR,멀쩡하다
멀쩡/NNG,멀쩡하다
멋/VA,멋지다
멋지/VA,멋지다
멋졌/VA,멋지다
멋진/VA,멋지다
멋질/VA,멋지다
멋드러지/VA,멋지다
멋들어지/VA,멋지다
멋짐/NNG,멋지다
명랑/NNG,명랑하다
모던/NNG,모던하다
모던/VA,모던하다
무난/XR,무난하다
무난/NNG,무난하다
믿음직/XR,믿음직하다
믿음직/NNG,믿음직하다
믿/VV+음직/EC,믿음직하다
바르/NNG,바르다
바르/VV,바르다
바르/VA,바르다
바른/VA,바르다
바른/MM,바르다
바름/NNG,바르다
바르다/NNP,바르다
반듯/XR,반듯하다
반듯/NNG,반듯하다
반하/NNG,반하다
반하/VV,반하다
반/NNG+하/XSV,반하다
반함/NNG,반하다
발랄/XR,발랄하다
발랄/NNG,발랄하다
보/VV+기/ETN+좋/VA,보기좋다
보드랍/VA,보드랍다
보드라/VA,보드랍다
보드라움/NNG,보드랍다
보송/XR,보송보송하다
보송보송/MAG,보송보송하다
보송보송/NNG,보송보송하다
부드럽/VA,부드럽다
부드러/VA,부드럽다
부들/NNG,부드럽다
부들/XR,부드럽다
부들부들/MAG,부드럽다
부드러움/NNG,부드럽다
부티나/NNP,부티나다
부티/NNG,부티나다
빈티지/NNG,빈티지
빠르/VA,빠르다
빠름/NNG,빠르다
빨라/VA,빠르다
빨랐/VA,빠르다
빠를/VA,빠르다
빠른/VA,빠르다
빵빵/XR,빵빵하다
빵빵/MAG,빵빵하다
빵빵/NNG,빵빵하다
빼어나/VA,빼어나다
빼어났/VA,빼어나다
빼어난/VA,빼어나다
빼어날/VA,빼어나다
빼어남/NNG,빼어나다
보얗/VA,뽀얗다
보오얗/VA,뽀얗다
뽀얗/VA,뽀얗다
뽀야/VA,뽀얗다
보야/VA,뽀얗다
뽀얌/NNG,뽀얗다
보얌/NNG,뽀얗다
사랑/NNG,사랑스럽다
사랑/NNG+스럽/XSA,사랑스럽다
사랑/NNG+스러/XSA,사랑스럽다
사랑스럽/VA,사랑스럽다
사랑스러/VA,사랑스럽다
사랑스러움/NNG,사랑스럽다
상큼/XR,상큼하다
상큼/VA,상큼하다
상큼/NNG,상큼하다
서구/NNG,서구적이다
서구적/NNG,서구적이다
서구/NNG+적/XSN,서구적이다
서그/NNP+럽/NNP,서그럽다
서그러/VA,서그럽다
서/JKB+그러/VA,서그럽다
서/VV+그러/VA,서그럽다
서그러움/NNG,서그럽다
선명/NNG,선명하다
섬세/XR,섬세하다
섬세/NNG,섬세하다
성숙/NNG,성숙하다
성장/NNG,성장하다
성장/XR,성장하다
성장감/NNG,성장하다
성/NNG+장감/NNG,성장하다
세련/NNG,세련되다
세련/XR,세련되다
세밀/XR,세밀하다
세밀/NNG,세밀하다
세심/NNG,세심하다
세심/XR,세심하다
섹시/XR,섹시하다
섹시/NNG,섹시하다
소박/XR,소박하다
소박/NNG,소박하다
손색없/VA,손색없다
손색/NNG+없/VA,손색없다
수려/XR,수려하다
수려/NNG,수려하다
순결/NNG,순결하다
순수/NNG,순수하다
슬림/XR,슬림하다
슬림/NNG,슬림하다
시원/XR,시원하다
시원/NNG,시원하다
시원시원/MAG,시원하다
신선/XR,신선하다
신선/NNG,신선하다
신속/NNG,신속하다
신속/XR,신속하다
실하/VA,실하다
실/NNG+하/XSA,실하다
실했/VA,실하다
실할/VA,실하다
실한/VA,실하다
심미/NNG,심미적
심미적/NNG,심미적
심미/NNG+적/XSN,심미적
심플/NNP,심플하다
심플/NNG,심플하다
쑥스럽/VA,쑥스럽다
쑥스/VA,쑥스럽다
쑥쓰/VA,쑥스럽다
쑥스러/VA,쑥스럽다
쑥쓰러/VA,쑥스럽다
쑥스러움/NNG,쑥스럽다
쑥쓰러움/NNG,쑥스럽다
아기자기/NNG,아기자기
아기/NNG+자기/NP,아기자기
아기자기/MAG,아기자기
